name,trans,testTime,number,total,updateTime,inputTime
bikini,比基尼,9,5,15,2016/06/29 21:54:02,2016/06/29 02:23:49
juvenile,少年的；年輕的,10,7,15,2016/06/29 21:53:48,2016/06/29 02:23:49
garment,衣服,4,11,15,2016/06/29 21:54:02,2016/06/29 02:23:49
niece,侄女；外甥女,3,6,15,2016/06/29 17:47:34,2016/06/29 02:23:49
volatile,揮發性的,12,12,15,2016/06/29 21:54:43,2016/06/29 02:23:49
apple,蘋果,11,13,15,2016/06/29 21:54:55,2016/06/29 11:45:46
irony,諷刺；譏刺,4,9,15,2016/06/29 16:59:44,2016/06/29 02:23:49
zinc,鋅,4,3,15,2016/06/29 21:22:49,2016/06/29 02:23:49
velvet,天鵝絨,5,8,15,2016/06/29 21:54:55,2016/06/29 02:23:49
newcomer,新來的人,5,2,15,2016/06/29 21:54:43,2016/06/29 02:23:49
acreage,英畝數,10,4,15,2016/06/29 20:27:07,2016/06/29 02:23:49
ghetto,貧民窟,8,10,15,2016/06/29 21:54:43,2016/06/29 02:23:49
neonlight,霓虹燈,12,1,15,2016/06/29 21:54:55,2016/06/29 02:23:49
orange,橘子,6,14,15,2016/06/29 21:22:44,2016/06/29 15:53:00
kiwi,奇異果,0,15,15,2016/06/29 22:14:05,2016/06/29 22:14:05
